serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,contractID,additionalInput,longvolume,shortvolume,aggression,minsize,barsstarttime,trailstop,preopen,streamingpriority,strategy
200,BEARDSELL,BEARDSELL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
201,BEDMUTHA,BEDMUTHA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
202,BEML,BEML,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
203,BERGEPAIN,BERGEPAIN,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
204,BECREL,BECREL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
205,BFINVEST,BFINVEST,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
206,BFUTILITI,BFUTILITI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
207,BGRENERGY,BGRENERGY,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
208,TGBHOTELS,TGBHOTELS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
209,BHAGYNAGA,BHAGYNAGA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
210,BEPL,BEPL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
211,BBL,BBL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
212,BEL,BEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
213,BHARATFOR,BHARATFOR,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
214,BHARATGEA,BHARATGEA,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
215,BHEL,BHEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
216,BPCL,BPCL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
217,BHARATRAS,BHARATRAS,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
218,BHARTISHI,BHARTISHI,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
219,BGLOBAL,BGLOBAL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
220,BHARTIART,BHARTIART,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
221,INFRATEL,INFRATEL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
222,BIL,BIL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
223,BHUSANSTL,BHUSANSTL,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
224,BILENERGY,BILENERGY,STK,NSE,,INR,,,,,2000,100000,-500000,0,1,,0.05,N,100,ADR
