Long Name,IB Symbol,Exchange Symbol,Currency,Contract ID,Exchange,Type
CHOLAMANDALAM INVESTMENT AND,CHOLAFIN,CHOLAFIN,INR,56985332,NSE,STK
CHROMATIC INDIA LTD,CHROMATIC,CHROMATIC,INR,64683350,NSE,STK
CIGNITI TECHNOLOGIES LTD,CIGNITITE,CIGNITITEC,INR,64683442,NSE,STK
CIL NOVA PETROCHEMICALS LTD,CNOVAPETR,CNOVAPETRO,INR,141212388,NSE,STK
CIMMCO LTD,CIMMCO,CIMMCO,INR,94133156,NSE,STK
CINELINE INDIA LTD,CINELINE,CINELINE,INR,108538699,NSE,STK
CINEVISTA LTD,CINEVISTA,CINEVISTA,INR,56985439,NSE,STK
CIPLA LTD,CIPLA,CIPLA,INR,44652139,NSE,STK
CITY UNION BANK LTD,CUB,CUB,INR,56985542,NSE,STK
CLARIANT CHEMICALS (I) LTD,CLNINDIA,CLNINDIA,INR,56985422,NSE,STK
CLASSIC DIAMONDS (INDIA),CLASSIC,CLASSIC,INR,56985412,NSE,STK
CLUTCH AUTO LIMITED,CLUTCHAUT,CLUTCHAUTO_BZ,INR,56985424,NSE,STK
CMC LIMITED,CMC,CMC,INR,56985429,NSE,STK
COAL INDIA LTD,COALINDIA,COALINDIA,INR,80626626,NSE,STK
COLGATE PALMOLIVE (INDIA),COLPAL,COLPAL,INR,56985419,NSE,STK
COMMERCIAL ENGINEERS & BODY,CEBBCO,CEBBCO,INR,80247304,NSE,STK
COMPUCOM SOFTWARE LIMITED,COMPUSOFT,COMPUSOFT,INR,64683433,NSE,STK
CONSOLIDATED CONSTRUCTION CO,CCCL,CCCL,INR,72526520,NSE,STK
CONSOLIDATED FINVEST & HLDG,CONSOFINV,CONSOFINVT,INR,56985329,NSE,STK
CONTAINER CORP OF INDIA LTD,CONCOR,CONCOR,INR,56985327,NSE,STK
CORDS CABLE INDUSTRIES LTD,CORDSCABL,CORDSCABLE,INR,56985443,NSE,STK
CORE EDUCATION & TECHNOLOGIE,COREEDUTE,COREEDUTEC,INR,56985464,NSE,STK
COROMANDEL INTERNATIONAL LTD,COROMANDE,COROMANDEL,INR,82363812,NSE,STK
CORPORATION BANK,CORPBANK,CORPBANK,INR,180222143,NSE,STK
COSMO FILMS LIMITED,COSMOFILM,COSMOFILMS,INR,56985378,NSE,STK
COUNTRY CLUB HOSPITALITY & H,CCHHL,CCHHL,INR,64683146,NSE,STK
COUNTRY CONDOS LTD,COUNCODOS,COUNCODOS,INR,75733192,NSE,STK
COX AND KINGS LTD,COXKINGS,COX&KINGS,INR,90028958,NSE,STK
CREATIVE EYE LTD,CREATIVEY,CREATIVEYE,INR,56985364,NSE,STK
CREDIT ANALYSIS & RESEARCH,CARERATIN,CARERATING,INR,119564853,NSE,STK
CREST VENTURES LTD,CREST,CREST,INR,56988991,NSE,STK
