serialno,symbol,servicename,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barsstarttime,streamingpriority,strategy
503,EMAMIINFR,EMAMIINFRA,STK,NSE,,INR,,,,1,,100,
504,EMAMILTD,EMAMILTD,STK,NSE,,INR,,,,1,,4,ADR:CNX500
505,EMCO,EMCO,STK,NSE,,INR,,,,1,,100,
506,EMKAY,EMKAY,STK,NSE,,INR,,,,1,,100,
507,EMMBI,EMMBI,STK,NSE,,INR,,,,1,,100,
508,EDL,EDL,STK,NSE,,INR,,,,1,,100,
509,EMPEESUG,EMPEESUG,STK,NSE,,INR,,,,1,,100,
510,ENERGYDEV,ENERGYDEV,STK,NSE,,INR,,,,1,,100,
511,ENGINERSI,ENGINERSIN,STK,NSE,,INR,,,,1,,4,ADR:CNX500
512,ALICON,ALICON,STK,NSE,,INR,,,,1,,100,
513,ENTEGRA,ENTEGRA,STK,NSE,,INR,,,,1,,100,
514,ENIL,ENIL,STK,NSE,,INR,,,,1,,4,ADR:CNX500
515,EON,EON,STK,NSE,,INR,,,,1,,100,
516,ERAINFRA,ERAINFRA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
517,EROSMEDIA,EROSMEDIA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
518,ESABINDIA,ESABINDIA,STK,NSE,,INR,,,,1,,4,ADR:CNX500
519,ESCORTS,ESCORTS,STK,NSE,,INR,,,,1,,4,ADR:CNX500
520,ESSDEE,ESSDEE,STK,NSE,,INR,,,,1,,4,ADR:CNX500
521,ESSAROIL,ESSAROIL,STK,NSE,,INR,,,,1,,100,
522,ESSARPORT,ESSARPORTS,STK,NSE,,INR,,,,1,,100,
523,ESSARSHPN,ESSARSHPNG,STK,NSE,,INR,,,,1,,100,
524,ESSELPACK,ESSELPACK,STK,NSE,,INR,,,,1,,4,ADR:CNX500
525,ESTER,ESTER,STK,NSE,,INR,,,,1,,100,
526,EUROCERA,EUROCERA,STK,NSE,,INR,,,,1,,100,
527,EUROMULTI,EUROMULTI,STK,NSE,,INR,,,,1,,100,
528,EUROTEXIN,EUROTEXIND,STK,NSE,,INR,,,,1,,100,
529,EVEREADY,EVEREADY,STK,NSE,,INR,,,,1,,100,
530,EVERESTIN,EVERESTIND,STK,NSE,,INR,,,,1,,100,
